Mean daily Precipitation per season from Armagh Observatory, 1838-2001 (mm)
Winter(Dec,Jan,Feb),Spring(March,Apr,May),Summer(June,July,Aug),Autumn(Sept,Oct,Nov.) 
     
         Winter    Spring    Summer    Autumn    Annual
1838       -        1.60      3.29      1.92      2.10
1839      1.17      0.97      2.68      3.31      2.16
1840      2.24      1.01      2.39      1.75      1.74
1841      1.61      1.57      2.48      2.43      2.00
1842      1.68      1.85      2.06      2.54      1.98
1843      0.79      2.56      3.25      2.67      2.33
1844      1.40      0.61      2.72      2.40      1.71
1845      1.55      1.07      3.23      2.90      2.33
1846      1.80      1.68      2.64      3.09      2.22
1847      1.56      1.92      1.21      2.30      1.92
1848      2.37      1.92      2.97      2.11      2.16
1849      1.54      1.63      2.34      2.97      2.22
1850      2.34      2.11      2.48      1.98      2.12
1851      1.78      1.33      2.88      1.77      1.98
1852      2.46      1.29      3.67      3.59      3.07
1853      3.08      1.45      2.68      2.59      2.12
1854      1.77      1.30      3.40      1.97      2.28
1855      1.69      1.63      2.34      1.49      1.65
1856      1.68      1.41      1.69      1.67      1.71
1857      2.39      2.64      2.11      1.95      2.15
1858      1.26      2.65      2.06      1.51      2.01
1859      2.24      1.54      1.77      2.47      1.93
1860      1.99      1.81      2.79      1.38      1.97
1861      1.65      1.64      4.00      2.78      2.52
1862      2.19      2.78      2.72      2.30      2.58
1863      1.98      1.40      2.18      3.53      2.18
1864      1.45      1.69      1.71      3.10      1.99
1865      2.68      2.35      1.81      2.91      2.51
1866      2.92      1.63      2.39      2.37      2.38
1867      3.00      2.53      2.20      1.88      2.26
1868      2.08      2.21      1.32      1.87      2.08
1869      3.51      1.92      1.03      2.11      2.00
1870      1.66      0.47      1.00      3.34      1.61
1871      2.55      1.23      2.35      2.26      1.97
1872      2.34      1.96      2.09      3.46      2.76
1873      2.74      1.01      3.25      1.83      1.88
1874      1.14      1.20      2.18      2.77      1.97
1875      2.31      0.81      2.91      3.80      2.38
1876      1.91      1.41      1.59      2.26      2.13
1877      4.35      2.19      2.61      2.39      2.65
1878      2.30      1.95      1.77      2.42      1.99
1879      1.55      2.16      3.44      1.84      2.25
1880      1.53      1.95      3.09      2.17      2.27
1881      1.76      1.93      2.77      2.31      2.21
1882      1.92      2.59      2.73      3.18      2.64
1883      3.22      1.42      2.15      3.34      2.43
1884      2.79      2.14      1.88      2.37      2.40
1885      2.48      1.55      1.21      2.57      1.79
1886      2.12      2.13      1.95      3.03      2.52
1887      2.20      1.05      1.98      1.93      1.64
1888      1.21      1.87      3.22      1.83      2.06
1889      1.77      2.22      2.71      1.90      2.13
1890      1.73      1.46      2.22      3.14      2.10
1891      0.90      1.67      2.48      2.11      2.00
1892      2.18      1.65      3.54      2.51      2.25
1893      1.67      0.85      2.30      1.60      1.69
1894      3.10      1.88      2.46      1.83      2.30
1895      1.45      1.36      3.40      2.06      2.13
1896      1.84      1.33      3.28      2.20      2.17
1897      1.90      2.38      3.55      1.79      2.44
1898      2.51      2.06      1.90      2.80      2.21
1899      2.25      2.49      1.78      2.29      2.26
1900      2.47      1.48      2.95      3.19      2.54
1901      2.27      1.94      2.05      2.88      2.24
1902      2.14      2.32      2.45      2.01      2.21
1903      2.95      2.39      2.35      2.51      2.53
1904      2.36      1.88      2.73      1.72      2.14
1905      1.71      1.96      3.09      1.60      2.08
1906      1.95      2.20      1.83      2.08      2.08
1907      1.58      2.46      2.62      2.16      2.20
1908      1.94      2.41      2.21      2.54      2.29
1909      1.84      2.04      1.93      2.16      2.01
1910      2.83      1.68      3.22      1.15      2.26
1911      2.11      1.48      1.64      2.01      1.92
1912      3.31      1.84      3.75      1.27      2.48
1913      2.57      2.81      1.80      3.01      2.44
1914      2.03      1.84      2.02      1.85      2.23
1915      3.82      1.07      2.29      1.52      2.03
1916      3.22      3.08      1.99      2.75      2.57
1917      1.87      2.31      2.80      2.78      2.41
1918      2.41      1.30      1.88      3.76      2.45
1919      2.43      1.50      1.63      1.84      2.02
1920      3.55      2.50      2.01      2.89      2.52
1921      2.37      1.54      2.07      1.91      1.99
1922      2.64      1.73      2.59      1.43      2.07
1923      3.10      1.67      2.26      3.01      2.51
1924      2.07      2.15      3.21      2.97      2.68
1925      2.79      2.39      1.86      1.87      2.12
1926      2.76      1.76      2.50      2.23      2.21
1927      1.68      1.45      2.76      3.06      2.28
1928      3.00      1.60      3.52      3.11      2.85
1929      1.70      1.09      2.74      2.95      2.36
1930      3.05      1.44      2.95      3.19      2.42
1931      2.34      2.35      3.55      2.33      2.64
