/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BABADA1 (1928-1955), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926358 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.900000 * LONGITUDE: -6.962500
	DATE/TIME START: 1928-09-01T00:00:00 * DATE/TIME END: 1955-12-31T00:00:00
Event(s):	BABADA1 * LATITUDE: 38.900000 * LONGITUDE: -6.962500 * LOCATION: Badajoz, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 7am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
	Sunshine duration [min] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: calculated from hours and minutes
	Sunshine duration, daily [h/day] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
Size:	56002 data points
*/
Date/Time	N [tenths] (at 7am)	N [tenths] (at 1pm)	N [tenths] (at 6pm)	N [tenths] (mean)	SSD [min] (calculated from hours and min...)	SSD [h/day]
1928-09-01	0	1	0	0.33	795	13.25
1928-09-02	7	8	2	5.67	470	7.83
1928-09-03	10	0	0	3.33	720	12.00
1928-09-04	1	0	0	0.33	720	12.00
1928-09-05	5	8	8	7.00	310	5.17
1928-09-06	0	2	3	1.67	590	9.83
1928-09-07	1	0	0	0.33	610	10.17
1928-09-08	5	3	1	3.00	510	8.50
1928-09-09	6	5	7	6.00	465	7.75
1928-09-10	9	5	9	7.67	140	2.33
1928-09-11	9	10	2	7.00	160	2.67
1928-09-12	1	1	2	1.33	590	9.83
1928-09-13	0	1	1	0.67	610	10.17
1928-09-14	0	1	1	0.67	650	10.83
1928-09-15	0	0	0	0.00	655	10.92
1928-09-16	0	1	3	1.33	560	9.33
1928-09-17	0	0	0	0.00	650	10.83
1928-09-18	0	2	1	1.00	605	10.08
1928-09-19	5	4	4	4.33	580	9.67
1928-09-20	0	1	1	0.67	505	8.42
1928-09-21	10	8	8	8.67	305	5.08
1928-09-22	9	5	5	6.33	320	5.33
1928-09-23	10	9	2	7.00	60	1.00
1928-09-24	10	5	7	7.33	125	2.08
1928-09-25	10	10	10	10.00	0	0.00
1928-09-26	10	10	10	10.00	10	0.17
1928-09-27	9	10	10	9.67	0	0.00
1928-09-28	5	10	10	8.33	35	0.58
1928-09-29	4	0	7	3.67	190	3.17
1928-09-30	6	6	2	4.67	495	8.25
1928-10-01	8	5	8	7.00	265	4.42
1928-10-02	4	6	8	6.00	300	5.00
1928-10-03	9	5	3	5.67	375	6.25
1928-10-04	3	7	9	6.33	480	8.00
1928-10-05	9	7	3	6.33	220	3.67
1928-10-06	0	1	0	0.33	610	10.17
1928-10-07	0	1	2	1.00	595	9.92
1928-10-08	1	1	0	0.67	605	10.08
1928-10-09	2	5	8	5.00	535	8.92
1928-10-10	5	2	2	3.00	530	8.83
1928-10-11		2	4	3.00	515	8.58
1928-10-12	2	1	1	1.33	595	9.92
1928-10-13	4	1	1	2.00	430	7.17
1928-10-14	7	7	0	4.67	340	5.67
1928-10-15	4	8	3	5.00	505	8.42
1928-10-16	3	2	1	2.00	530	8.83
1928-10-17	1	0	0	0.33	595	9.92
1928-10-18	0	0	0	0.00	610	10.17
1928-10-19	0	2	0	0.67	600	10.00
1928-10-20	2	8	0	3.33	315	5.25
1928-10-21	8	9	0	5.67	275	4.58
1928-10-22	8	10	10	9.33	0	0.00
1928-10-23	9	7	1	5.67	405	6.75
1928-10-24	10	10	10	10.00	0	0.00
1928-10-25	10	5	9	8.00	180	3.00
