Mean seasonal maximum, minimum, mean temperature and daily temp range at Armagh Obs. 

References: 

Butler, C.J., Garcia-Suarez, A.M., Coughlin, A.D.S. and Cardwell, D. (2005)
Meteorological Data recorded at Armagh Observatory: Volume 2 - Daily, Mean Monthly,
Seasonal and Annual, Maximum and Minimum Temperatures, 1844-2004. 

Butler, C.J.,Garcia-Suarez, A.M., Coughlin, A.D.S. and Morrell, C. (2005) Ait
temperature at Armagh Observatory, Northern Ireland from 1796 to 2002. Int. J.
Climatol. 25, 1055-1079.

                  Winter(DJF)                Spring (MAM)               Summer (JJA)             Autumn (SON)
        max    min    mean   DTR    max    min    mean   DTR    max    min   mean   DTR    max    min   mean    DTR    
 1844   7.89   2.27   5.08   5.62  13.81   4.47   9.14   9.34  18.34   9.70  14.02   8.64  13.53   6.56  10.05   6.98
 1845   6.36   1.56   3.96   4.80  12.36   3.67   8.01   8.69  18.13   9.55  13.84   8.58  13.28   6.21   9.74   7.06
 1846   9.24   3.47   6.36   5.77  12.76   4.62   8.69   8.13  20.98  11.83  16.41   9.15  14.54   7.42  10.98   7.12
 1847   6.17   0.95   3.56   5.22  12.48   4.57   8.52   7.91  20.13  10.54  15.34   9.58  13.56   6.55  10.05   7.01
 1848   7.26   1.38   4.32   5.88  13.75   4.54   9.15   9.20  18.56   9.17  13.87   9.39  12.82   5.70   9.26   7.12
 1849   8.87   2.57   5.72   6.30  12.41   4.34   8.38   8.08  19.01   9.75  14.38   9.26  13.58   6.21   9.89   7.37
 1850   7.41   1.59   4.50   5.82  12.89   4.61   8.75   8.28  19.19  10.49  14.84   8.70  13.44   5.80   9.62   7.64
 1851   9.25   2.71   5.98   6.54  12.33   4.10   8.22   8.23  18.87  10.05  14.46   8.82  13.35   6.09   9.72   7.26
 1852   8.45   2.23   5.34   6.22  13.15   4.33   8.74   8.82  19.63  10.76  15.19   8.87  12.81   5.63   9.22   7.18
 1853   7.10   1.05   4.08   6.05  12.43   3.62   8.02   8.81  18.91  10.33  14.62   8.58  12.93   5.73   9.33   7.21
 1854   6.93   1.04   3.98   5.89  13.91   4.73   9.32   9.18  18.18   9.59  13.89   8.59  12.77   6.34   9.56   6.44
 1855   5.77   0.28   3.03   5.50  11.99   2.99   7.49   9.00  19.59  10.95  15.27   8.64  12.91   6.15   9.53   6.76
 1856   7.31   2.00   4.66   5.31  11.75   3.83   7.79   7.92  19.07  10.55  14.81   8.52  13.43   6.98  10.20   6.45
 1857   7.61   2.01   4.81   5.59  11.90   4.34   8.12   7.57  20.33  11.38  15.85   8.95  14.59   7.61  11.10   6.98
 1858   9.26   3.64   6.45   5.62  12.79   4.36   8.57   8.44  19.33  10.23  14.78   9.09  12.81   5.60   9.20   7.21
 1859   9.01   3.07   6.04   5.94  13.47   4.55   9.01   8.92  20.99  10.72  15.85  10.28  12.82   5.59   9.20   7.24
 1860   5.94   0.14   3.04   5.80  12.51   3.34   7.93   9.16  16.93   9.26  13.09   7.68  11.61   4.92   8.26   6.69
 1861   5.81   1.10   3.46   4.70  12.46   4.14   8.30   8.32  19.73  10.50  15.12   9.23  13.42   5.19   9.31   8.23
 1862   7.74   2.57   5.15   5.18  10.37   4.51   7.44   5.86  17.49   9.05  13.27   8.43  12.36   5.02   8.69   7.35
 1863   8.84   2.68   5.76   6.16  12.90   4.37   8.63   8.53  17.86   9.10  13.48   8.76  12.62   5.67   9.15   6.95
 1864   7.32   0.92   4.12   6.40  13.02   4.50   8.76   8.52  18.11   8.98  13.55   9.12  12.62   5.27   8.95   7.35
 1865   6.17   0.78   3.47   5.39  12.54   4.37   8.45   8.17  19.20  10.85  15.03   8.35  14.25   6.77  10.51   7.48
 1866   8.25   2.66   5.46   5.59  11.47   3.55   7.51   7.92  17.94  10.15  14.04   7.79  12.66   5.91   9.29   6.75
 1867   7.50   1.60   4.55   5.89  11.32   4.22   7.77   7.10  18.59  10.38  14.48   8.21  12.68   6.10   9.39   6.58
 1868   7.97   2.50   5.23   5.47  13.60   5.43   9.51   8.16  19.88  10.75  15.31   9.13  12.06   5.14   8.60   6.92
 1869   9.11   3.74   6.42   5.37  11.38   3.52   7.45   7.86  19.03   9.89  14.46   9.15  13.57   6.45  10.01   7.12
 1870   6.26   0.33   3.29   5.93  13.08   4.47   8.77   8.62  20.04  10.48  15.26   9.56  12.97   5.59   9.28   7.37
 1871   6.30   0.97   3.63   5.34  13.62   4.78   9.20   8.84  18.83  10.12  14.48   8.71  12.44   5.51   8.98   6.93
 1872   7.86   2.19   5.03   5.67  11.70   4.36   8.03   7.34  18.08  10.49  14.28   7.59  11.55   5.32   8.44   6.22
 1873   6.33   1.11   3.72   5.22  11.53   3.85   7.69   7.68  17.81  10.61  14.21   7.20  11.59   4.74   8.17   6.85
 1874   8.41   2.89   5.65   5.52  12.72   4.85   8.78   7.87  18.61  10.08  14.34   8.53  12.19   5.88   9.04   6.31
 1875   6.49   1.17   3.83   5.32  12.82   4.74   8.78   8.09  17.81   9.88  13.84   7.94  12.28   6.27   9.28   6.01
 1876   7.18   1.31   4.24   5.87  11.14   3.01   7.07   8.12  18.65   9.73  14.19   8.92  12.54   6.76   9.65   5.79
 1877   8.19   2.59   5.39   5.61  10.77   3.19   6.98   7.58  17.44   9.81  13.63   7.63  12.37   5.46   8.92   6.91
 1878   8.08   2.58   5.33   5.50  12.38   4.81   8.59   7.58  18.64  10.85  14.75   7.78  11.96   5.26   8.61   6.70
 1879   4.13  -1.88   1.13   6.01  10.45   2.56   6.51   7.89  16.35   9.44  12.90   6.91  11.50   5.22   8.36   6.28
 1880   6.51   0.83   3.67   5.67  12.38   4.11   8.25   8.27  18.23  10.60  14.41   7.63  11.78   5.20   8.49   6.58
 1881   5.20  -0.43   2.38   5.62  11.83   3.90   7.87   7.93  16.83   9.41  13.12   7.42  12.59   6.03   9.31   6.55
 1882   7.96   2.89   5.43   5.08  12.65   4.50   8.58   8.15  17.40  10.06  13.73   7.33  11.83   4.78   8.31   7.05
 1883   7.10   1.37   4.23   5.73  11.21   2.27   6.74   8.95  17.03   9.11  13.07   7.92  12.39   5.30   8.85   7.10
 1884   8.16   2.27   5.22   5.89  12.19   3.30   7.75   8.89  18.65   9.84  14.24   8.81  13.18   5.21   9.19   7.97
 1885   7.43   1.36   4.40   6.07  10.80   2.59   6.69   8.21  18.45   8.91  13.68   9.55  11.45   4.72   8.09   6.73
 1886   5.85   0.65   3.25   5.20  10.85   3.04   6.95   7.81  17.98   9.87  13.92   8.11  12.85   6.24   9.55   6.61
 1887   6.58   0.56   3.57   6.02  11.18   2.61   6.89   8.58  20.16  10.73  15.44   9.43  11.10   4.30   7.70   6.80
 1888   6.72   1.04   3.88   5.68  10.80   2.56   6.68   8.24  17.05   8.94  12.99   8.12  12.50   5.69   9.10   6.81
 1889   7.64   1.81   4.73   5.83  11.71   4.67   8.19   7.04  18.27   9.41  13.84   8.86  12.57   6.03   9.30   6.54
 1890   8.00   2.39   5.20   5.61  12.39   4.19   8.29   8.20  17.40   9.06  13.23   8.34  13.69   6.66  10.17   7.03
 1891   7.04   0.91   3.97   6.13  10.57   2.07   6.32   8.50  18.21  10.27  14.24   7.94  12.60   5.47   9.03   7.13
 1892   6.72   1.05   3.88   5.67  11.91   2.41   7.16   9.50  17.44   9.13  13.28   8.31  11.68   4.61   8.14   7.07
 1893   6.41   1.26   3.83   5.15  14.24   5.31   9.78   8.93  19.60  10.83  15.22   8.77  12.33   4.97   8.65   7.36
 1894   7.66   2.01   4.84   5.65  12.20   3.91   8.06   8.29  17.37   9.58  13.48   7.79  12.69   4.94   8.82   7.75
 1895   4.71  -1.26   1.73   5.97  12.56   4.29   8.43   8.28  18.55   9.68  14.11   8.87  13.09   5.43   9.26   7.65
 1896   7.84   2.90   5.37   4.94  13.62   4.91   9.26   8.71  18.43   9.69  14.06   8.73  11.18   4.28   7.73   6.90
 1897   7.03   1.09   4.06   5.94  11.24   3.09   7.17   8.15  18.69  10.28  14.49   8.41  13.37   6.04   9.70   7.33
 1898   8.59   2.87   5.73   5.72  11.89   3.46   7.68   8.43  18.49   9.43  13.96   9.06  13.77   7.33  10.55   6.44
 1899   8.42   2.50   5.46   5.92  11.97   3.57   7.77   8.40  20.28  11.19  15.74   9.09  13.91   6.78  10.34   7.13
