Holwerd(109_G) "53:23:00" NB "05:54:00" OL     5.0 (m  boven msl)
#Disclaimer: deze data zijn gedigitaliseerd uit jaarboeken. In de loop der jaren zijn er veranderingen in  eenheden, meetmethodes en locatie. Waar de eenheid niet eenduidig te bepalen is, is dit genoteerd met (Onbekend).
#Disclaimer: these data are found  in yearbooks. Over time there are changes in units, methods  of observation and location.  Where the unit could not be established, it is indicated as (Unknown). 
#Q: Kwaliteitscode. Bij elke meetwaarde hoort een kwaliteitscode. Q=0: OK. Q=1 : minder betrouwbaar. Q=6 : waarde verbeterd. Q=9 : onbruikbare waarde. 
#Q: Quality code. Each observed value has a quality code . Q=0 : OK. Q=1 : less reliable. Q=6 : value restored. Q=9 : not valid. 

 DD  Windrichting  :  Richting waaruit de wind waait  (streek). ;  DD  Wind direction  :  direction where the wind comes from  (compass points).
 FFb  Windsnelheid  :   herstelde Bft schaal  (Bft). ;  FFb  Windspeed  :  restored Bft scale  (Bft).
 N  Bedekkingsgraad  :  Bedekkingsgraad van de bovenlucht  (deca). ;  N  Cloudvover  :  Cloud of upper air   (decas).
 R6  Dagsom neerslag  :  dagsom  (0.1 mm). ;  R6  Daily precipitation  :  sum  (0.1 mm).
 TD  Maximum Temp  :  Maximum temparatuur  (0.1 Celcius). ;  TD  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 T  Temperatuur  :  Temperatuur gemeten op 2 m  (0.1 Celcius). ;  T  Temperature  :  Temperature observed at 2 m  (0.1 Celcius).
 TN6  Minimum Temp  :  Minimum temparature sinds vorige meting   (0.1 Celcius). ;  TN6  Minimum Temp  :  Minimum temperature   (0.1 Celcius).
 TX6  Maximum Temp  :  Maximum temparature sinds vorige meting  (0.1 Celcius). ;  TX6  Maximum Temp  :  Maximum temparature   (0.1 Celcius).
 U  Relatieve Vochtigheid  :  Hoeveelheid vocht in de lucht in % van verzadiging  (%). ;  U  Rel Humidity  :  Amount of moist in the air as % of saturation  (%).
 WW  Weercode  :  SYNOP code   (code). ;  WW  Wheather code  :  SYNOP code   (code).

DATUM,tijd,DD,Q_DD,FFb,Q_FFb,N,Q_N,R6,Q_R6,TD,Q_TD,T,Q_T,TN6,Q_TN6,TX6,Q_TX6,U,Q_U,WW,Q_WW
19501201,800,ZW,2,8,2,10,0,0,0,75,0,84,0,82,0,94,0,87,0,00,0
19501201,1400,ZW,2,8,2,10,0,27,0,75,0,78,0,78,0,87,0,95,0,63,0
19501201,1900,W,2,4,2,10,0,76,0,47,0,54,0,48,0,80,0,89,0,00,0
19501202,800,W,2,9,2,5,0,23,0,31,0,57,0,46,0,64,0,60,0,95,0
19501202,1400,W,2,4,2,8,0,10,0,50,0,67,0,55,0,70,0,74,0,00,0
19501202,1900,ZW,2,2,2,6,0,0,0,29,0,37,0,32,0,67,0,86,0,63,0
19501203,800,ZW,2,2,2,5,0,11,0,4,0,8,0,8,0,41,0,92,0,00,0
19501203,1400,ZW,2,2,2,9,0,0,0,30,0,34,0,1,0,34,0,91,0,00,0
19501203,1900,NW,2,3,2,10,0,0,0,13,0,17,0,16,0,36,0,90,0,73,0
19501204,800,WNW,2,4,2,5,0,6,0,11,0,39,0,-11,0,39,0,53,0,00,0
19501204,1400,WNW,2,4,2,10,0,13,0,0,0,1,0,1,0,43,0,99,0,73,0
19501204,1900,ZW,2,3,2,2,0,5,0,-4,0,-3,0,-3,0,5,0,98,0,00,0
19501205,800,ZZW,2,5,2,5,0,0,0,-6,0,-3,0,-7,0,6,0,93,0,00,0
19501205,1400,ZW,2,4,2,9,0,26,0,17,0,19,0,-3,0,19,0,96,0,00,0
19501205,1900,NW,2,5,2,2,0,10,0,25,0,42,0,18,0,47,0,71,0,00,0
19501206,800,W,2,4,2,4,0,6,0,18,0,28,0,19,0,46,0,81,0,00,0
19501206,1400,W,2,4,2,9,0,9,0,26,0,37,0,15,0,37,0,80,0,00,0
19501206,1900,WZW,2,4,2,9,0,16,0,31,0,37,0,15,0,38,0,89,0,63,0
19501207,800,ZZW,2,5,2,10,0,25,0,18,0,21,0,21,0,40,0,94,0,63,0
19501207,1400,Z,2,5,2,10,0,13,0,16,0,18,0,10,0,24,0,96,0,53,0
19501207,1900,ZZO,2,3,2,10,0,4,0,28,0,29,0,18,0,30,0,99,0,00,0
19501208,800,O,2,2,2,0,0,2,0,-8,0,-7,0,-8,0,29,0,99,0,10,0
19501208,1400,OZO,2,2,2,0,0,0,0,7,0,16,0,-7,0,16,0,82,0,05,0
19501208,1900,O,2,1,2,0,0,0,0,-8,0,-6,0,-6,0,18,0,95,0,00,0
19501209,800,ZO,2,1,2,10,0,0,0,-49,1,-51,0,-58,0,-6,0,100,0,45,0
19501209,1400,ZZO,2,2,2,10,0,0,0,-19,1,-21,0,-53,0,-21,0,100,0,45,0
19501209,1900,ZZO,2,2,2,10,0,0,0,-8,1,-8,0,-23,0,-5,0,99,0,10,0
19501210,800,ZZO,2,3,2,10,0,0,0,-8,0,-8,0,-18,0,-8,0,100,0,45,0
19501210,1400,Z,2,4,2,10,0,5,0,15,0,19,0,-8,0,19,0,91,0,10,0
19501210,1900,Z,2,5,2,10,0,3,0,19,0,21,0,19,0,21,0,95,0,63,0
19501211,800,Z,2,2,2,10,0,94,0,24,0,24,0,18,0,32,0,100,0,63,0
19501211,1400,W,2,3,2,7,0,15,0,34,0,41,0,22,0,49,0,89,0,00,0
19501211,1900,ZW,2,2,2,1,0,0,0,8,0,14,0,12,0,43,0,88,0,00,0
19501212,800,ZZW,2,4,2,8,0,22,0,15,0,18,0,6,0,20,0,93,0,10,0
19501212,1400,NW,2,4,2,9,0,5,0,32,0,38,0,14,0,45,0,89,0,81,0
19501212,1900,NW,2,3,2,2,0,4,0,22,0,29,0,29,0,45,0,87,0,00,0
19501213,800,ZW,2,1,2,5,0,13,0,1,0,3,0,3,0,34,0,95,0,00,0
19501213,1400,ZZW,2,3,2,4,0,1,0,5,0,8,0,3,0,15,0,93,0,10,0
19501213,1900,ZZW,2,4,2,8,0,0,0,-4,0,-2,0,-2,0,9,0,95,0,10,0
19501214,800,OZO,2,3,2,5,0,0,0,-31,1,-30,0,-32,0,0,0,95,0,10,0
19501214,1400,OZO,2,2,2,9,0,0,0,-8,1,-6,0,-30,0,-6,0,96,0,10,0
19501214,1900,OZO,2,3,2,10,0,0,0,-10,1,-10,0,-22,0,-3,0,99,0,45,0
19501215,800,Z,2,4,2,10,0,3,0,-3,0,3,0,-15,0,7,0,85,0,10,0
19501215,1400,Z,2,3,2,10,0,0,0,-2,0,0,0,0,0,6,0,95,0,10,0
19501215,1900,NO,2,2,2,10,0,11,0,-2,0,-1,0,-9,0,0,0,98,0,73,0
19501216,800,ZW,2,4,2,10,0,112,0,5,0,5,0,-9,0,16,0,100,0,63,0
19501216,1400,W,2,3,2,10,0,47,0,5,0,7,0,2,0,7,0,96,0,85,0
19501216,1900,W,2,4,2,2,0,10,0,17,0,24,0,6,0,33,0,87,0,00,0
19501217,800,ZZO,2,3,2,1,0,4,0,-27,1,-26,0,-26,0,28,0,95,0,00,0
19501217,1400,ZO,2,3,2,0,0,0,0,-15,1,-9,0,-30,0,-7,0,88,0,10,0
19501217,1900,OZO,2,3,2,4,0,0,0,-36,1,-35,0,-38,0,-3,0,94,0,10,0
19501218,800,OZO,2,2,2,1,0,0,0,-61,1,-60,0,-65,0,-30,0,91,0,05,0
19501218,1400,ZO,2,3,2,9,0,0,0,-26,1,-22,0,-68,0,-22,0,89,0,05,0
19501218,1900,ZO,2,4,2,10,0,0,0,-22,1,-18,0,-55,0,-18,0,90,0,00,0
19501219,800,OZO,2,3,2,10,0,0,0,-23,1,-21,0,-24,0,-12,0,93,0,05,0
19501219,1400,O,2,2,2,0,0,0,0,-33,1,-30,0,-40,0,-18,0,90,0,05,0
19501219,1900,O,2,2,2,0,0,0,0,-56,1,-56,0,-64,0,-27,0,95,0,10,0
19501220,800,NO,2,1,2,1,0,0,0,-63,1,-65,0,-104,0,-54,0,100,0,12,0
19501220,1400,NO,2,2,2,3,0,0,0,-1,0,7,0,-65,0,9,0,85,0,00,0
19501220,1900,NO,2,2,2,10,0,0,0,4,0,6,0,1,0,8,0,95,0,00,0
19501221,800,OZO,2,3,2,10,0,5,0,1,0,1,0,-1,0,9,0,100,0,45,0
19501221,1400,O,2,3,2,10,0,0,0,1,0,3,0,1,0,5,0,95,0,45,0
19501221,1900,OZO,2,3,2,10,0,0,0,-1,0,1,0,0,0,5,0,96,0,10,0
19501222,800,O,2,4,2,10,0,0,0,-17,0,-12,0,-12,0,4,0,90,0,00,0
19501222,1400,O,2,4,2,10,0,0,0,-20,0,-18,0,-19,0,-11,0,96,0,00,0
19501222,1900,O,2,5,2,10,0,0,0,-20,0,-16,0,-18,0,-16,0,92,0,10,0
19501223,800,ONO,2,2,2,10,0,0,0,-11,0,-8,0,-18,0,-6,0,93,0,10,0
19501223,1400,O,2,3,2,4,0,0,0,-4,0,0,0,-11,0,1,0,91,0,05,0
19501223,1900,ONO,2,3,2,10,0,0,0,2,0,11,0,-7,0,12,0,83,0,00,0
19501224,800,NNO,2,2,2,10,0,0,0,7,0,15,0,-2,0,17,0,85,0,00,0
19501224,1400,NNO,2,1,2,10,0,0,0,7,0,13,0,13,0,15,0,88,0,00,0
19501224,1900,OZO,2,1,2,7,0,0,0,2,0,6,0,5,0,16,0,90,0,00,0
19501225,800,WZW,2,1,2,9,0,0,0,-8,0,-6,0,-14,0,9,0,96,0,00,0
19501225,1400,ZO,2,1,2,9,0,0,0,9,0,16,0,-7,0,17,0,86,0,05,0
19501225,1900,OZO,2,2,2,10,0,0,0,-9,0,-7,0,-8,0,17,0,95,0,10,0
19501226,800,OZO,2,1,2,2,0,0,0,-59,1,-59,0,-60,0,-5,0,94,0,45,0
19501226,1400,N,2,1,2,9,0,0,0,-1,1,4,0,-63,0,4,0,90,0,00,0
19501226,1900,ONO,2,4,2,10,0,0,0,-1,0,3,0,-3,0,11,0,92,0,00,0
19501227,800,ONO,2,5,2,10,0,0,0,-2,0,4,0,-10,0,8,0,87,0,00,0
19501227,1400,ONO,2,6,2,5,0,0,0,-8,0,7,0,4,0,9,0,70,0,00,0
19501227,1900,ONO,2,6,2,3,0,0,0,-25,0,-13,0,-14,0,9,0,75,0,00,0
19501228,800,O,2,5,2,2,0,0,0,-50,1,-44,0,-47,0,-9,0,81,0,00,0
19501228,1400,ONO,2,6,2,1,0,0,0,-33,1,-21,0,-44,0,-15,0,73,0,00,0
19501228,1900,O,2,2,2,4,0,0,0,-36,1,-30,0,-32,0,-14,0,84,0,00,0
19501229,800,W,2,3,2,9,0,0,0,-30,1,-24,0,-31,0,-21,0,85,0,00,0
19501229,1400,ZW,2,3,2,9,0,1,0,-14,1,-7,0,-24,0,-5,0,85,0,73,0
19501229,1900,ZW,2,2,2,10,0,0,0,-10,1,-6,0,-11,0,-5,0,92,0,00,0
19501230,800,ZW,2,5,2,10,0,0,0,-29,1,-26,0,-27,0,-1,0,90,0,73,0
19501230,1400,ZZW,2,4,2,10,0,0,0,-54,1,-51,0,-52,0,-26,0,88,0,10,0
19501230,1900,ZW,2,5,2,10,0,0,0,-54,1,-56,0,-68,0,-49,0,100,0,45,0
19501231,800,Z,2,4,2,10,0,0,0,-67,1,-69,0,-100,0,-53,0,99,0,10,0
19501231,1400,ZZO,2,4,2,9,0,0,0,-79,1,-81,0,-82,0,-65,0,99,0,10,0
19501231,1900,ZO,2,4,2,10,0,0,0,-78,1,-76,0,-86,0,-76,0,88,0,10,0
19510101,800,ZO,2,4,2,10,0,0,0,-16,0,-13,0,-80,0,-12,0,92,0,73,0
19510101,1400,ZW,2,4,2,10,0,14,0,5,0,8,0,-13,0,10,0,92,0,00,0
19510101,1900,ZO,2,4,2,7,0,0,0,2,0,11,0,-1,0,11,0,81,0,00,0
19510102,800,ZO,2,4,2,10,0,15,0,1,0,3,0,-3,0,16,0,95,0,73,0
19510102,1400,ZZO,2,2,2,10,0,25,0,7,0,9,0,0,0,9,0,96,0,10,0
19510102,1900,ZZO,2,2,2,9,0,0,0,6,0,7,0,6,0,9,0,98,0,10,0
19510103,800,ZZO,2,2,2,9,0,0,0,-1,0,4,0,-3,0,10,0,89,0,10,0
19510103,1400,ZW,2,2,2,8,0,0,0,6,0,10,0,-10,0,12,0,90,0,00,0
19510103,1900,ZW,2,2,2,10,0,0,0,-2,0,-2,0,-11,0,12,0,100,0,45,0
19510104,800,ZZW,2,4,2,10,0,3,0,-4,0,-4,0,-15,0,9,0,98,0,45,0
19510104,1400,Z,2,5,2,10,0,3,0,4,0,7,0,-5,0,8,0,93,0,53,0
19510104,1900,ZZW,2,5,2,10,0,4,0,10,0,10,0,7,0,11,0,100,0,00,0
19510105,800,Z,2,4,2,10,0,25,0,11,0,12,0,7,0,12,0,99,0,63,0
19510105,1400,ZZW,2,4,2,10,0,36,0,42,0,43,0,12,0,43,0,98,0,63,0
19510105,1900,ZW,2,4,2,10,0,69,0,38,0,39,0,31,0,43,0,97,0,63,0
19510106,800,ZO,2,1,2,10,0,3,0,6,0,6,0,6,0,49,0,100,0,45,0
19510106,1400,ZO,2,2,2,10,0,42,0,34,0,36,0,5,0,39,0,97,0,45,0
19510106,1900,ZZW,2,4,2,2,0,1,0,29,0,38,0,36,0,52,0,86,0,00,0
19510107,800,WZW,2,7,2,10,0,32,0,38,0,46,0,31,0,56,0,87,0,00,0
19510107,1400,W,2,8,2,10,0,29,0,39,0,46,0,46,0,49,0,88,0,00,0
19510107,1900,W,2,8,2,7,0,5,0,31,0,49,0,44,0,49,0,70,0,00,0
19510108,800,ZW,2,3,2,10,0,17,0,43,0,44,0,25,0,51,0,99,0,53,0
19510108,1400,ZZW,2,4,2,10,0,6,0,57,0,58,0,44,0,63,0,98,0,53,0
19510108,1900,ZZW,2,6,2,10,0,4,0,55,0,59,0,45,0,60,0,93,0,53,0
19510109,800,W,2,3,2,10,0,44,0,44,0,46,0,45,0,62,0,97,0,10,0
19510109,1400,W,2,3,2,4,0,21,0,34,0,44,0,34,0,47,0,82,0,00,0
19510109,1900,W,2,3,2,8,0,0,0,24,0,36,0,36,0,47,0,79,0,00,0
19510110,800,ZZO,2,2,2,7,0,0,0,-6,0,-4,0,-8,0,36,0,95,0,10,0
19510110,1400,ZZO,2,4,2,9,0,0,0,12,0,24,0,-4,0,25,0,78,0,05,0
19510110,1900,Z,2,6,2,8,0,8,0,27,0,35,0,18,0,35,0,85,0,63,0
19510111,800,ZW,2,5,2,10,0,55,0,48,0,52,0,35,0,55,0,93,0,63,0
19510111,1400,ZW,2,6,2,10,0,70,0,59,0,65,0,43,0,65,0,90,0,63,0
