Verified monthly total sunshine hours from Armagh Observatory (raw data), 1880-2001 (hours)
Note incomplete coverage in some months before 1886 (see Table 2 of paper for details)

References:  

Meteorological Data recorded at Armagh Observatory: Volume 10 - Daily, Monthly, Seasonal and Annual Hours of Bright Sunshine,
1880-2004. Butler, C.J., Emerson, M., Garcia-Suarez, A.M., Palle, E. and Kelly, S.T. (2005), Armagh Observatory Climate Series.
http://climate.arm.ac.uk/calibrated/sun/sun-text-plus-tabs.pdf

Sunshine records from Ireland, Cloud Factors and their links to Solar Activity and Cosmic Rays. Palle, E. and Butler, C.J. 2001, International
Journal of Climatology, 21, 709-729.


Year     Jan       Feb      March     April      May      June      July     August     Sept.     Oct.      Nov.      Dec.	 Annual
1880    -888      -888      -888      -888     222.8     169.3     145.3     171.0     131.9     104.8      58.6      52.2	 1140.2
1881	57.1	  42.8     102.1     155.6     235.4	 160.8     117.6     137.4	82.3	 115.0      76.2      61.8	 1344.1
1882	44.4	  60.8     108.7     139.5     >239.0	 >152.6    >88.2      94.7     115.3	  89.2      63.1      29.4	>1224.9
1883	55.7	  64.4     >39.7     158.2     181.0	 157.5     133.7    >100.0     >90.1	 >54.0      58.6      26.1	>1119.0
1884	22.2	  50.6      63.8     140.7     130.9	 105.0     143.0     111.8     115.4	  68.3      48.1      17.0	 1016.8
1885	47.1	  69.2      87.6     116.1     >92.7	 >62.5     152.2     115.2	80.9	 >93.1      50.0      29.5	 >996.1
1886	33.6	  47.3      52.3     150.3     113.6	 141.6     136.5     104.8     119.0	  61.5      71.1      42.3	 1073.9
1887	32.2	  90.8     105.7     166.2     172.3	 263.7     148.7     146.7	94.7	  59.2      50.4      33.0	 1363.6
1888	39.4	  64.3      63.4      96.4     213.2	 188.1     108.4     122.0     101.4	  78.0      35.5      40.9	 1151.0
1889	25.5	  66.1      83.6      90.5     127.7	 224.9     167.2      78.0	94.7	  78.1      46.4      38.3	 1121.0
1890	65.1	  48.3     125.3     170.0     224.4	 123.1     149.9     123.8	97.6	  72.1      65.5      34.4	 1299.5
1891	66.6	  72.7     130.5     124.8     158.4	 183.4     152.7      89.2     139.4	 146.8      49.0      48.5	 1362.0
1892	42.8	  56.6     117.2     208.6     154.2	 196.4     130.7     103.0     117.6	  94.4      60.4      25.2	 1307.1
1893	36.4	  70.8     122.5     182.4     126.5	 190.7     183.9     169.3     133.0	 105.8      65.1      53.2	 1439.6
1894	47.6	  61.8     175.0     121.8     172.0	 139.8     153.0      96.2     133.1	  76.7      71.7      27.6	 1276.3
1895	71.7	  77.9      80.9     114.7     222.4	 250.1     101.5      76.2     146.0	 126.2      75.3      25.7	 1368.6
1896	38.6	  51.1      86.7     129.5     245.7	 157.3     100.8     135.4	87.0	 103.9      69.6      47.7	 1253.3
1897	58.4	  35.7      95.0     143.1     232.4	 109.5     192.2     149.1     144.3	  89.1      48.7      63.7	 1361.2
1898	29.8	  83.2     116.9     152.2     179.3	 131.1     170.7     145.6     136.6	  75.6      53.0      40.4	 1314.4
1899	54.9	  81.3     136.1     117.4     197.1	 204.0     100.5     235.4     117.3	 128.8      44.5      30.0	 1447.3
1900	64.7	  85.5      72.3     127.6     158.9	 170.7     152.4     134.2     142.5	  92.9      58.9      29.5	 1290.1
1901	46.6	  37.6      89.3     172.1     254.1	 148.0     126.2     151.7	80.0	 110.6      53.0      44.8	 1314.0
1902	39.9	  51.8      81.1     221.6     166.7	 123.3     129.7     156.1     117.2	  73.4      52.6      33.6	 1246.9
1903	51.7	  31.8     111.5     118.6     137.5	 145.8     148.5     169.1     157.3	  85.8      55.9      32.9	 1246.4
1904	29.1	  27.3      97.4     141.0     174.2	 194.9     165.6     140.8     152.5	  93.2      43.1      48.1	 1307.2
1905	27.5	  89.4     154.0     131.1     238.3	 239.5     165.1     124.6     124.7	  98.0      55.4      45.0	 1492.6
1906	43.4	  96.5      92.6     190.1     105.7	 173.5     185.6     151.4     171.1	  92.0      42.3      37.7	 1381.9
